Check Date,Check number,Amount in $,Purchase,Category,FOIA No,Link,Notes,Redaction,Requested by,Requested Date,First Response,Received Date,Muckrock Link
9/14/2010,15094,6558.3,training equipment,routine,16-0191,15094.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/22/2010,15107,8500,lexis nexis,surveillance,16-0191,15107.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/24/2010,15112,7644,GPS air time,routine,16-0191,15112.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/24/2010,15113,5929.75,lexis nexis,surveillance,16-0191,15113.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/24/2010,15114,5092.67,car repair,routine,16-0191,15114.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/27/2010,15120,9600,car repair,routine,16-0191,15120.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/27/2010,15121,16075,camera equipment,surveillance,16-0191,15121.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
9/29/2010,15127,157300,Stingray ,surveillance,16-0191,15127.pdf,,,Freddy Martinez,1/10/16,1/19/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
10/1/2010,15139,7060,postal equipment,routine,16-0190,15139.pdf,"""Those items are normally funded by Chicago HIDTA however; this years budget cuts have eliminated funds for equipment""",,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/7/2010,15150,5326.62,car repair,routine,16-0190,15150.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/7/2010,15155,125941.02,enterprise,routine,16-0190,15155.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/8/2010,15157,205000,PODs,surveillance ,16-0190,15157.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15164,38822.2,phones,routine,16-0190,15164.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15166,40339.26,phones,routine,16-0190,15166.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15168,21521.02,phones,routine,16-0190,15168.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15169,21538,phones,routine,16-0190,15169.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/20/2010,15170,21073.6,phones,routine,16-0190,15170.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/21/2010,15179,8500,lexis nexis,surveillance,16-0190,15179.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
10/21/2010,15180,41433.29,phones,routine,16-0189,15180.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/22/2010,15182,5881,lexis nexis,surveillance,16-0189,15182.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/22/2010,15183,5239.08,gang intelligence reporting,routine,16-0189,15183.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/22/2010,15184,5487.4,audio / video supplies,routine,16-0189,15184.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
10/27/2010,15196,5494.61,trunking ,routine,16-0189,15196.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/1/2010,15204,14790,redacted,redacted,16-0189,15204.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/1/2010,15205,5240,pinhole cameras,surveillance,16-0189,15205.pdf,probably pinhole cams... need to fight redaction,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/9/2010,15219,128055.19,enterprise,routine,16-0189,15219.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/16/2010,15231,11840,pinhole camera ,surveillance,16-0189,15231.pdf,"probably pinhole cams, need to fight redaction",,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/17/2010,15232,8500,lexis nexis,surveillance,16-0189,15232.pdf,,,Freddy Martinez,1/10/16,1/20/16,1/27/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
11/29/2010,15237,5959,lexis nexis,surveillance,15-0583,15237.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/1/2010,15244,38929.58,phones,routine,15-0583,15244.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/2/2010,15249,6918.14,vehicle repairs,routine,15-0583,15249.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/7/2010,15261,41809.32,phones,routine,15-0583,15261.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/15/2010,15281,8500,lexis nexis,surveillance,15-0583,15281.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/15/2010,15282,5326.62,vehicle repairs,routine,15-0583,15282.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
12/15/2010,15283,130550.33,enterprise,routine,16-0584,15283.pdf,,,,,,,
1/3/2011,15298,8019.93,T1 Internet Access ,routine,16-0584,15298.pdf,DEA,,,,,,
1/5/2011,15300,5895,lexis nexis,surveillance,16-0584,15300.pdf,,,,,,,
1/7/2011,15303,42539.01,phones,routine,16-0584,15303.pdf,,,,,,,
1/10/2011,15304,21406.17,phones,routine,16-0584,15304.pdf,,,,,,,
1/10/2011,15305,5355,camera equipment,surveillance,16-0584,15305.pdf,,,,,,,
1/21/2011,15318,8500,lexis nexis,surveillance,16-0584,15318.pdf,,,,,,,
1/21/2011,15325,5938.04,vehicle repairs,routine,16-0584,15325.pdf,,,,,,,
1/25/2011,15339,5655.5,lexis nexis,surveillance,16-0584,15339.pdf,,,,,,,
2/1/2011,15350,129615.73,enterprise,routine,16-0584,15350.pdf,,,,,,,
2/7/2011,15363,14028.3,gps trackers,surveillance,16-0585,15363.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/9/2011,15364,5586,hard drives,routine,16-0585,15364.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/16/2011,15376,42032.02,phones,routine,16-0585,15376.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/18/2011,15378,129509.8,enterprise,routine,16-0585,15378.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2/18/2011,15379,8500,accurint,surveillance,16-0585,15379.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/1/2011,15388,5818.75,accurint,surveillance,16-0585,15388.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/4/2011,15411,135384.6,enterprise,routine,16-0585,15411.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/9/2011,15415,138866,pen-link pen registers,surveillance,16-0585,15415.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/10/2011,15417,21171.97,phones,routine,16-0585,15417.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/17/2011,15426,8500,accurint,surveillance,16-0585,15426.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
3/23/2011,15499,133693.88,enterprise,routine,16-0586,15499.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
3/24/2011,15501,16464.34,vehicle repair,routine,16-0586,15501.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
3/25/2011,15512,20957.55,phones,routine,16-0586,15512.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/1/2011,15516,5817,lexis nexis,surveillance,16-0586,15516.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/18/2011,15548,6000,trap and trace,surveillance,16-0586,15548.pdf,"??? ""locator request"" == trap and trace?",,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/18/2011,15553,5042.55,drug testing ,routine,16-0586,15553.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/18/2011,15557,6600.24,vehicle repair,routine,16-0586,15557.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/19/2011,15558,131498.37,enterprise,routine,16-0586,15558.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/21/2011,15561,8500,lexis nexis,surveillance,16-0586,15561.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/21/2011,15565,5720.5,lexis nexis,surveillance,16-0586,15565.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15499-to-15565-23483/
4/25/2011,15569,42855.57,phones,routine,16-0587,15569.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
4/27/2011,15589,40796.45,phones,routine,16-0587,15589.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/9/2011,15635,20348.64,phones,routine,16-0587,15635.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/11/2011,15639,38328.54,phones,routine,16-0587,15639.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/13/2011,15647,8500,lexis nexis,surveillance,16-0587,15647.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/23/2011,15664,135435.75,enterprise,routine,16-0587,15664.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/23/2011,15665,20759.59,phones,routine,16-0587,15665.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
5/24/2011,15672,19020.34,phones,routine,16-0587,15672.pdf,el salvadore?,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
6/1/2011,15692,6336.28,vehicle repair,routine,16-0587,15692.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
6/1/2011,15694,35108.95,phones,routine,16-0587,15694.pdf,,,Freddy Martinez,1/16/16,2/1/16,2/9/16,https://www.muckrock.com/foi/chicago-169/1505-checks-15569-to-15694-23482/
6/2/2011,15698,5971.25,Accurint,Surveillance,P048638,15698.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
6/3/2011,15704,6385.5,Windows administrator training,Routine,P048638,15704.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
6/6/2011,15711,14028.3,Freight Security trackers,Surveillance,P048638,15711.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
6/14/2011,15721,19451.28,Phones,Routine,P048638,15721.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
6/16/2011,15724,8500,Accurint,Surveillance,P048638,15724.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
6/16/2011,15726,5500,US Cellular pen register coverage,Surveillance,P048638,15726.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
6/23/2011,15745,129020.01,Enterprise,Routine,P048638,15745.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
6/27/2011,15747,11245,Dell storage array,Routine,P048638,15747.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
7/8/2011,15763,5901,Accurint,Surveillance,P048638,15763.pdf,,,Kayvis Damptey,6/10/16,,6/20/16,Personal e-mail
7/25/2011,15778,16746.28,,,16-0589,,Not received,,Paige McLeod,1/15/16,2/1/16,,https://www.muckrock.com/foi/chicago-169/1505-checks-15698-through-15778-23464/
8/4/2011,15786,44520,"unclear, bought from research electronics international",surveillance?,16-0278,15786.pdf,no invoice attached?,,Brian Kroll,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/4/2011,15788,128777.97,enterprise,routine,16-0278,15788.pdf,,,Brian Kroll,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/8/2011,15793,9625,t-mobile (for pen register investigation),surveillance,16-0278,15793.pdf,,,Brian Kroll,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/8/2011,15801,33617.49,phones,routine,16-0278,15801.pdf,,,Brian Kroll,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/8/2011,15802,30977.4,phones,routine,16-0278,15802.pdf,,,Brian Kroll,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
8/16/2011,15805,5552.5,accurint,surveillance,16-0278,15805.odf,,,Brian Kroll,1/13/16,1/27/16,1/27/16,https://www.muckrock.com/foi/chicago-169/cpd-1505-checks-15786-through-15826-23445/
