Date,Amount,Purchase,Category,Link,MuckRock Link
2010-09-14,6558.30,training equipment,routine,15094.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-22,8500.00,lexis nexis,routine,15107.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-24,7644.00,gps air time,routine,15112.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-24,5929.75,lexis nexis,routine,15113.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-24,5092.67,car repair,routine,15114.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-27,9600.00,car repair,routine,15120.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-27,16075.00,camera equipment,surveillance,15121.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-09-29,157300.00,stingray,surveillance,15127.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15062-to-15127-23356/#comms
2010-10-01,7060.00,postal equipment,routine,15139.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-07,5326.62,car repair,routine,15150.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-07,125941.02,enterprise,car rental,15155.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-08,205000.00,pods,surveillance,15157.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-20,38822.20,phones,phones,15164.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-20,40339.26,phones,phones,15166.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-20,21521.02,phones,phones,15168.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-20,21538.00,phones,phones,15169.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-20,21073.60,phones,phones,15170.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-21,8500.00,lexis nexis,routine,15179.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15139-to-15179-23357/#comms
2010-10-21,41433.29,phones,phones,15180.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-10-22,5881.00,lexis nexis,routine,15182.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-10-22,5239.08,gang intelligence reporting,routine,15183.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-10-22,5487.40,audio / video supplies,routine,15184.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-10-27,5494.61,trunking,routine,15196.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-11-01,14790.00,redacted,uknown,15204.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-11-01,5240.00,pinhole cameras,surveillance,15205.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-11-09,128055.19,enterprise,car rental,15219.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-11-16,11840.00,pinhole cameras,surveillance,15231.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-11-17,8500.00,lexis nexis,routine,15232.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15180-to-15232-23358/
2010-11-29,5959.00,lexis nexis,routine,15237.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
2010-12-01,38929.58,phones,phones,15244.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
2010-12-02,6918.14,car repair,routine,15249.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
2010-12-07,41809.32,phones,phones,15261.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
2010-12-15,8500.00,lexis nexis,routine,15281.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
2010-12-15,5326.62,car repair,routine,15282.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15244-to-15282-23486/#comms
2010-12-15,130550.33,enterprise,car rental,15283.pdf,No data
2011-01-03,8019.93,t1 internet access,routine,15298.pdf,No data
2011-01-05,5895.00,lexis nexis,routine,15300.pdf,No data
2011-01-07,42539.01,phones,phones,15303.pdf,No data
2011-01-10,21406.17,phones,phones,15304.pdf,No data
2011-01-10,5355.00,camera equipment,surveillance,15305.pdf,No data
2011-01-21,8500.00,lexis nexis,routine,15318.pdf,No data
2011-01-21,5938.04,car repair,routine,15325.pdf,No data
2011-01-25,5655.50,lexis nexis,routine,15339.pdf,No data
2011-02-01,129615.73,enterprise,car rental,15350.pdf,No data
2011-02-07,14028.30,gps trackers,surveillance,15363.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-02-09,5586.00,hard drives,routine,15364.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-02-16,42032.02,phones,phones,15376.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-02-18,129509.80,enterprise,car rental,15378.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-02-18,8500.00,lexis nexis,routine,15379.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-03-01,5818.75,lexis nexis,routine,15388.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
2011-03-04,135384.60,enterprise,car rental,15411.pdf,https://www.muckrock.com/foi/chicago-169/1505-checks-15363-to-15426-23484/
