Date,Amount,Purchase,Category,Link
2010-11-01,5240.00,pinhole cameras,surveillance,15205.pdf
2010-11-09,128055.19,enterprise,car rental,15219.pdf
2010-11-16,11840.00,pinhole cameras,surveillance,15231.pdf
2010-11-17,8500.00,lexis nexis,routine,15232.pdf
2010-11-29,5959.00,lexis nexis,routine,15237.pdf
2010-12-01,38929.58,phones,phones,15244.pdf
2010-12-02,6918.14,car repair,routine,15249.pdf
2010-12-07,41809.32,phones,phones,15261.pdf
2010-12-15,8500.00,lexis nexis,routine,15281.pdf
2010-12-15,5326.62,car repair,routine,15282.pdf
2010-12-15,130550.33,enterprise,car rental,15283.pdf
2011-01-03,8019.93,t1 internet access,routine,15298.pdf
2011-01-05,5895.00,lexis nexis,routine,15300.pdf
2011-01-07,42539.01,phones,phones,15303.pdf
2011-01-10,21406.17,phones,phones,15304.pdf
2011-01-10,5355.00,camera equipment,surveillance,15305.pdf
2011-01-21,8500.00,lexis nexis,routine,15318.pdf
2011-01-21,5938.04,car repair,routine,15325.pdf
2011-01-25,5655.50,lexis nexis,routine,15339.pdf
2011-02-01,129615.73,enterprise,car rental,15350.pdf
2011-02-07,14028.30,gps trackers,surveillance,15363.pdf
2011-02-09,5586.00,hard drives,routine,15364.pdf
2011-02-16,42032.02,phones,phones,15376.pdf
2011-02-18,129509.80,enterprise,car rental,15378.pdf
2011-02-18,8500.00,lexis nexis,routine,15379.pdf
2011-03-01,5818.75,lexis nexis,routine,15388.pdf
2011-03-04,135384.60,enterprise,car rental,15411.pdf
2011-03-09,138866.00,pen-link pen registers,surveillance,15415.pdf
2011-03-10,21171.97,phones,phones,15417.pdf
2011-03-17,8500.00,lexis nexis,routine,15426.pdf
2011-03-23,133693.88,enterprise,car rental,15499.pdf
2011-03-24,16464.34,car repair,routine,15501.pdf
2011-03-25,20957.55,phones,phones,15512.pdf
2011-04-01,5817.00,lexis nexis,routine,15516.pdf
2011-04-18,6000.00,pen register,surveillance,15548.pdf
2011-04-18,5042.55,drug testing,routine,15553.pdf
2011-04-18,6600.24,car repair,routine,15557.pdf
2011-04-19,131498.37,enterprise,car rental,15558.pdf
2011-04-21,8500.00,lexis nexis,routine,15561.pdf
2011-04-21,5720.50,lexis nexis,routine,15565.pdf
2011-04-25,42855.57,phones,phones,15569.pdf
2011-04-27,40796.45,phones,phones,15589.pdf
2011-05-09,20348.64,phones,phones,15635.pdf
2011-05-11,38328.54,phones,phones,15639.pdf
2011-05-13,8500.00,lexis nexis,routine,15647.pdf
2011-05-23,135435.75,enterprise,car rental,15664.pdf
2011-05-23,20759.59,phones,phones,15665.pdf
2011-05-24,19020.34,phones,phones,15672.pdf
2011-06-01,6336.28,car repair,routine,15692.pdf
2011-06-01,35108.95,phones,phones,15694.pdf
2011-06-02,5971.25,lexis nexis,routine,15698.pdf
2011-06-03,6385.50,windows administrator training,routine,15704.pdf
2011-06-06,14028.30,freight security trackers,surveillance,15711.pdf
2011-06-14,19451.28,phones,phones,15721.pdf
2011-06-16,8500.00,lexis nexis,routine,15724.pdf
2011-06-16,5500.00,pen register,surveillance,15726.pdf
2011-06-23,129020.01,enterprise,car rental,15745.pdf
2011-06-27,11245.00,dell storage array,routine,15747.pdf
2011-07-08,5901.00,lexis nexis,routine,15763.pdf
2011-07-25,16746.28,phones,phones,15778.PDF
2011-08-04,44520.00,research electronics,unknown,15786.pdf
2011-08-04,128777.97,enterprise,car rental,15788.pdf
2011-08-08,9625.00,pen register,surveillance,15793.pdf
2011-08-08,33617.49,phones,phones,15801.pdf
2011-08-08,30977.40,phones,phones,15802.pdf
2011-08-16,5552.50,lexis nexis,routine,15805.odf
2011-08-16,27407.53,phones,phones,15809.pdf
2011-08-17,8500.00,lexis nexis,routine,15810.pdf
2011-08-17,17960.19,phones,phones,15826.pdf
2011-08-26,8500.00,lexis nexis,routine,15826.pdf
2011-09-01,5955.39,at&t trunking,routine,15830.PDF
2011-09-01,5200.00,phones,phones,15836.pdf
2011-09-01,138467.13,enterprise,car rental,15847.pdf
2011-09-13,17309.03,phones,phones,15860.pdf
2011-09-14,6275.00,pen register,surveillance,15861.pdf
2011-09-14,19857.56,phones,phones,15871.pdf
2011-10-03,47000.00,research electronics,unknown,15886.pdf
2011-10-03,5569.25,web access to ??,unknown,15893.pdf
2011-10-03,8500.00,web access to ??,unknown,15894.pdf
2011-10-12,25256.23,phones,phones,15908.pdf
2011-10-19,8500.00,web access to ??,unknown,15913.pdf
2011-11-01,23750.00,research electronics,unknown,15921.pdf
2011-11-01,17861.19,phones,phones,15924.pdf
2011-11-07,8518.12,car repair,routine,15950.pdf
2011-11-15,6002.00,lexis nexis,routine,15959.pdf
2011-11-15,25445.03,phones,phones,15960.pdf
2011-11-15,17058.97,phones,phones,15961.pdf
2011-11-16,7828.00,sandoval custom creations for ?? cameral and ??,unknown,15964.pdf
2011-11-16,8500.00,web access to ??,unknown,15970.pdf
2011-11-16,11392.50,web access to ??,unknown,15971.pdf
2011-11-23,17240.45,cpd dept of fleet mngmt,routine,15980.PDF
2011-12-27,14388.00,freight security net,unknown,16005.PDF
2011-12-27,7500.00,keyw corporation,surveillance,16006.PDF
2012-01-03,8505.50,web access to ??,unknown,16012.PDF
2012-01-11,6160.00,web access to ??,unknown,16027.PDF
2012-01-18,25292.15,phones,phones,16042.PDF
2012-01-18,25577.62,phones,phones,16043.PDF
2012-01-18,16555.49,phones,phones,16044.PDF
2012-01-18,17420.76,phones,phones,16045.PDF
2012-01-19,8500.00,web access to ??,unknown,16046.PDF
2012-01-23,164190.27,enterprise,car rental,16050.pdf
2012-01-26,138866.00,penlink,surveillance,16056.pdf
2012-02-01,6097.00,lexis nexis,routine,16062.pdf
2012-02-01,5718.54,car repair,routine,16066.pdf
2012-02-01,126310.34,enterprise,car rental,16073.pdf
2012-02-07,8240.65,car repair,routine,16083.pdf
2012-02-10,25684.42,phones,phones,16090.pdf
2012-02-16,17276.52,phones,phones,16092.pdf
2012-02-23,8503.50,lexis nexis,routine,16102.pdf
2012-02-27,71408.31,enterprise,car rental,16104.pdf
2012-03-06,117007.63,enterprise,car rental,16130.PDF
2012-03-06,6262.55,??????,unknown,No data
2012-03-09,25553.83,phones,phones,16144.PDF
2012-03-14,8501.50,??????,unknown,16150.PDF
2012-03-14,18244.10,phones,phones,16151.PDF
2012-03-16,6960.00,??????,unknown,16152.PDF
2012-03-20,136448.53,enterprise,car rental,16159.PDF
2012-04-02,6374.50,??????,unknown,16172.PDF
2012-04-02,5267.68,us marshalls service/cpd,unknown,16173.PDF
2012-04-04,8400.00,dea conference,routine,16191.PDF
2012-04-17,25591.07,phones,phones,16230.pdf
2012-04-17,16729.07,phones,phones,16233.pdf
2012-04-18,8504.50,lexis nexis,routine,16244.pdf
2012-05-01,129618.09,enterprise,car rental,16264.pdf
2012-05-10,25975.14,phones,phones,16297.pdf
2012-05-10,8975.15,car repair,routine,16300.pdf
2012-05-16,8531.25,lexis nexis,routine,16309.pdf
2012-05-16,16209.20,phones,phones,16310.pdf
2012-06-01,121672.27,enterprise,car rental,16336.pdf
2012-06-01,10791.00,gps trackers,surveillance,16338.pdf
2012-06-13,12123.25,lexis nexis,routine,16351.pdf
2012-06-21,8786.50,lexis nexis,routine,16356.pdf
2012-06-21,16333.04,phones,phones,16359.pdf
2012-07-02,46469.00,phones,phones,16379.pdf
2012-07-02,128527.97,enterprise,car rental,16381.pdf
2012-07-02,18820.00,1000 nik drug test pouches,routine,16382.pdf
2012-07-10,11675.00,pen register,surveillance,16392.pdf
2012-07-20,619088.00,20 unmarked ocd vehicles,routine,16402.pdf
2012-07-20,20000.00,dare & great program funding,routine,16403.pdf
2012-07-26,8510.50,lexis nexis,routine,16414.pdf
2012-07-26,12670.90,lexis nexis,routine,16417.pdf
2012-08-02,16507.48,phones,phones,16432.pdf
2012-08-02,126577.77,enterprise,car rental,16434.pdf
2012-08-03,360605.11,ballistics lab,routine,16437.pdf
2012-08-03,26544.08,phones,phones,16438.pdf
2012-08-14,91530.00,"ir cam, pole cams, counter surveillance",surveillance,16447.pdf
2012-08-17,8511.50,lexis nexis,routine,16450.pdf
2012-08-17,16936.57,phones,phones,16452.pdf
2012-08-20,6466.75,lexis nexis,routine,16454.pdf
2012-08-21,12790.00,k9s,routine,16457.pdf
2012-08-22,130009.57,enterprise,car rental,16466.pdf
2012-08-24,26395.36,phones,phones,16468.pdf
2012-09-19,8500.00,lexis nexis,routine,16511.pdf
2012-10-01,17575.70,phones,phones,16528.pdf
2012-10-01,26481.89,phones,phones,16529.pdf
2012-10-01,125619.22,enterprise,car rental,16530.pdf
2012-10-02,6023.10,car repair,routine,16533.pdf
2012-10-02,8711.42,car repair,routine,16534.pdf
2012-10-03,6409.25,lexis nexis,routine,16535.pdf
2012-10-15,26442.49,phones,phones,16542.pdf
2012-10-16,15871.88,phones,phones,16543.pdf
2012-10-22,6521.75,lexis nexis,routine,16553.pdf
2012-11-01,130699.65,enterprise,car rental,16573.pdf
2012-11-15,8273.10,freight security trackers,surveillance,16581.pdf
2012-11-15,27389.00,avid video processing and tower,routine,16582.pdf
2012-11-19,8500.00,lexis nexis,routine,16593.pdf
2012-11-19,137171.67,penlink,surveillance,16599.pdf
2012-11-27,16095.31,phones,phones,16601.pdf
2012-12-03,6598.50,lexis nexis,routine,16612.pdf
2012-12-03,26445.80,phones,phones,16614.pdf
2012-12-03,125524.22,enterprise,car rental,16615.pdf
2012-12-07,37000.67,penlink,surveillance,16623.pdf
2012-12-11,26869.76,phones,phones,16630.pdf
2012-12-12,9575.59,car repair,routine,16633.pdf
2012-12-19,8500.00,lexis nexis,routine,16649.pdf
2012-12-26,13182.30,redacted,uknown,16653.pdf
2013-01-08,20790.69,phones,phones,16679.pdf
2013-01-09,6755.75,lexis nexis,routine,16683.pdf
2013-01-09,9977.25,redacted,unknown,16684.pdf
2013-01-14,26673.87,phones,phones,16687.pdf
2013-01-16,133228.68,enterprise,car rental,16692.pdf
2013-01-17,8500.00,lexis nexis,routine,16693.pdf
2013-01-18,8502.75,lexis nexis,routine,16694.pdf
2013-01-18,16526.96,phones,phones,16699.pdf
2013-02-01,10539.00,pole cams,surveillance,16721.pdf
2013-02-06,129446.43,enterprise,car rental,16731.pdf
2013-02-14,509063.00,ballistics lab,routine,16738.pdf
2013-02-21,6851.75,lexis nexis,routine,16750.pdf
2013-02-21,6825.25,lexis nexis,routine,16751.pdf
2013-02-21,8500.00,lexis nexis,routine,16752.pdf
2013-02-21,26600.80,phones,phones,16754.pdf
2013-02-25,14899.20,phones,phones,16762.pdf
2013-03-01,12136.98,car repair,routine,16775.pdf
2013-03-01,128700.98,enterprise,car rental,No data
2013-03-19,340628.75,boc police department vehicles,routine,16802.pdf
2013-03-20,8500.00,lexis nexis,routine,16808.pdf
2013-03-20,130576.09,enterprise,car rental,16809.pdf
2013-03-21,15339.85,phones,phones,16814.pdf
2013-03-25,6660.50,lexis nexis,routine,16820.pdf
2013-04-01,9600.00,dea conference,routine,16823.pdf
2013-04-01,45470.00,pro-tech security sales invoice,unknown,16856.pdf
2013-04-01,29846.03,phones,phones,16858.pdf
2013-04-17,8500.00,lexis nexis,routine,16881.pdf
2013-04-17,27289.80,phones,phones,16882.pdf
2013-04-17,37400.00,electronics services agency invoice,unknown,16884.pdf
2013-04-19,15629.32,phones,phones,16891.pdf
2013-05-01,6814.75,lexis nexis,routine,16905.pdf
2013-05-01,56100.00,pinhole cameras,surveillance,16906.pdf
2013-05-01,130683.83,enterprise,car rental,16911.pdf
2013-05-03,11902.11,car repair,routine,16926.pdf
2013-05-06,96030.00,vision database,unknown,16936.pdf
2013-05-13,23425.00,pinhole cameras,surveillance,16953.pdf
2013-05-13,8500.00,lexis nexis,routine,16959.pdf
2013-05-16,32000.00,1505 audit,routine,16961.pdf
2013-05-21,13039.86,phones,phones,16968.pdf
2013-05-21,27579.88,phones,phones,16969.pdf
2013-05-22,410815.33,enterprise,car rental,16973.pdf
2013-06-04,6650.14,no data,unknown,No data
2013-06-04,214600.00,no data,unknown,No data
2013-06-04,121361.19,no data,unknown,No data
2013-06-10,6652.25,no data,unknown,No data
2013-06-19,8500.00,lexis nexis,routine,17015.pdf
2013-07-01,6446.05,no data,unknown,No data
2013-07-01,15487.36,no data,unknown,No data
2013-07-01,31368.23,no data,unknown,No data
2013-07-15,174174.52,no data,unknown,No data
2013-07-17,6752.00,lexis nexis,routine,17046.pdf
2013-08-07,7932.09,phones,phones,17071.pdf
2013-08-07,10071.60,redacted,unknown,17075.pdf
2013-08-21,8500.00,lexis nexis,routine,17086.pdf
2013-08-22,9435.07,phones,phones,17087.pdf
2013-09-11,41134.60,enterprise,car rental,17109.pdf
2013-09-11,14620.23,car repair,routine,17110.pdf
2013-09-13,13300.50,lexis nexis,routine,17113.pdf
2013-09-19,8500.00,lexis nexis,routine,17119.pdf
2013-09-24,6750.50,lexis nexis,routine,17123.pdf
2013-10-15,17992.00,no data,unknown,No data
2013-10-17,8500.00,lexis nexis,routine,17140.pdf
2013-10-18,8688.60,raid jacket,routine,17143.pdf
2013-10-18,6732.50,lexis nexis,routine,17144.pdf
2013-10-22,23201.16,phones,phones,17145.pdf
2013-11-01,137171.67,penlink,surveillance,17151.pdf
2013-11-15,15432.81,phones,phones,17174.pdf
2013-11-21,8500.00,lexis nexis,routine,17181.pdf
2013-11-22,31782.30,phones,phones,17185.pdf
2013-12-02,8500.25,lexis nexis,routine,17189.pdf
2013-12-05,10964.67,car repair,routine,17200.pdf
2013-12-10,6819.50,lexis nexis,routine,17208.pdf
2013-12-24,8500.00,lexis nexis,routine,17219.pdf
2014-01-03,15040.93,phones,phones,17222.pdf
2014-01-09,52974.05,phones,phones,17232.pdf
2014-01-10,66052.59,phones,phones,17233.pdf
2014-01-13,24488.25,enterprise,car rental,17236.pdf
2014-01-16,6633.75,lexis nexis,routine,17244.pdf
2014-01-16,14662.84,phones,phones,17247.pdf
2014-01-21,11987.20,narcotics destruction,routine,17251.pdf
2014-01-23,8500.00,lexis nexis,routine,17253.pdf
2014-01-24,106579.24,enterprise,car rental,17256.pdf
2014-02-03,10431.30,redacted,unknown,17265.pdf
2014-02-03,15114.78,no data,unknown,No data
2014-02-03,19766.37,phones,phones,17268.pdf
2014-02-04,6558.50,lexis nexis,routine,17269.pdf
2014-02-21,8500.00,lexis nexis,routine,17279.pdf
2014-02-21,15414.01,phones,phones,17282.pdf
2014-03-04,105786.85,enterprise,car rental,17305.pdf
2014-03-04,17749.55,phones,phones,17306.pdf
2014-03-07,71175.50,server,routine,17310.pdf
2014-03-11,13110.00,computer purchase,routine,17312.pdf
2014-03-13,6644.50,lexis nexis,routine,17315.pdf
2014-03-19,14912.77,phones,phones,17326.pdf
2014-03-21,104374.06,enterprise,car rental,17334.pdf
2014-03-21,17750.53,phones,phones,17335.pdf
2014-03-25,6552.75,lexis nexis,routine,17338.pdf
2014-04-02,13422.00,server,routine,17353.pdf
2014-04-14,9600.00,dea conference,routine,17360.pdf
2014-04-14,15265.66,phones,phones,17384.pdf
2014-04-16,19081.35,car repair,routine,17387.pdf
2014-04-17,17764.48,phones,phones,17394.pdf
2014-04-23,8500.25,lexis nexis,routine,17399.pdf
2014-05-01,101222.13,enterprise,car rental,17417.pdf
2014-05-08,59670.00,xfm server,routine,17427.pdf
2014-05-20,8500.00,lexis nexis,routine,17451.pdf
2014-05-20,385008.00,undercover car,routine,17452.pdf
2014-05-27,6489.25,lexis nexis,routine,17461.pdf
2014-06-03,104609.93,enterprise,car rental,17474.pdf
2014-06-03,14465.05,phones,phones,17475.pdf
2014-06-03,17770.69,phones,phones,17489.pdf
2014-06-03,6460.00,lexis nexis,routine,17490.pdf
2014-06-11,14763.59,phones,phones,17512.pdf
2014-06-18,8500.00,lexis nexis,routine,17517.pdf
2014-06-18,17756.08,phones,phones,17519.pdf
2014-06-18,7615.91,drug testing,routine,17520.pdf
2014-06-23,512910.00,undercover car,routine,17521.pdf
2014-06-24,7493.75,gps trackers,surveillance,17524.pdf
2014-07-01,102805.00,enterprise,car rental,17529.pdf
2014-07-01,9300.00,filemaker,routine,17534.pdf
2014-07-09,8500.00,lexis nexis,routine,17541.pdf
2014-07-09,6485.00,lexis nexis,routine,17543.pdf
2014-07-16,14991.51,phones,phones,17548.pdf
2014-07-22,7739.00,money counter,routine,17557.pdf
2014-07-23,8500.00,lexis nexis,routine,17559.pdf
2014-07-23,14434.40,car repair,routine,17561.pdf
2014-07-23,105160.15,enterprise,car rental,17562.pdf
2014-07-25,17969.60,phones,phones,17563.pdf
2014-08-04,5790.50,lexis nexis,routine,17578.pdf
2014-08-19,5630.34,narcotics destruction,routine,17607.pdf
2014-08-20,103346.10,enterprise,car rental,17612.pdf
2014-09-03,8500.00,lexis nexis,routine,17616.pdf
2014-09-03,5882.00,lexis nexis,routine,17623.pdf
2014-09-03,15400.25,phones,phones,17625.pdf
2014-09-08,7715.04,narcotics destruction,routine,17628.pdf
2014-09-18,8500.00,lexis nexis,routine,17635.pdf
2014-09-18,18272.33,phones,phones,17638.pdf
2014-09-23,102269.79,enterprise,car rental,17642.pdf
2014-09-24,5811.50,lexis nexis,routine,17643.pdf
2014-10-06,15182.78,phones,phones,17668.pdf
2014-10-15,8500.00,lexis nexis,routine,17678.pdf
2014-10-20,5886.00,phones,phones,17681.pdf
2014-10-21,18493.96,phones,phones,17688.pdf
2014-10-24,21926.44,phones,phones,17698.pdf
2014-10-24,137171.67,penlink,surveillance,17699.pdf
2014-11-03,104265.00,enterprise,car rental,17710.pdf
2014-11-04,15123.81,phones,phones,17711.pdf
2014-11-20,8500.00,lexis nexis,routine,17732.pdf
2014-11-24,102644.73,enterprise,car rental,17737.pdf
2014-11-25,15064.12,phones,phones,17741.pdf
2014-12-01,389823.46,hidta distribution,routine,17748.pdf
2014-12-02,24238.92,phones,phones,17755.pdf
2014-12-12,5960.00,drug testing,routine,17763.pdf
2014-12-12,5894.25,lexis nexis,routine,17765.pdf
2014-12-17,13994.47,car repair,routine,17767.pdf
2014-12-17,104811.75,enterprise,car rental,17769.pdf
2015-01-02,7190.00,drug testing,routine,17772.pdf
2015-01-05,19015.98,phones,phones,17789.pdf
2015-01-05,15032.37,lexis nexis,routine,17790.pdf
2015-01-06,8500.00,lexis nexis,routine,17792.pdf
2015-01-06,48012.00,"video retrieval, 12 dell laptops, cover hardware conflict",routine,17795.pdf
2015-01-15,5811.50,lexis nexis,routine,17811.pdf
2015-01-22,8500.00,lexis nexis,routine,17820.pdf
2015-01-23,106382.11,enterprise,car rental,17827.PDF
2015-02-03,5716.00,lexis nexis,routine,17844.pdf
2015-02-04,15221.37,phones,phones,17849.pdf
2015-02-06,19408.89,phones,phones,17851.pdf
2015-02-09,19980.55,school prevention programs,routine,17852.pdf
2015-02-11,5884.00,"""clear services"" subscription",unknown,17864.pdf
2015-02-18,15083.17,phones,phones,17870.pdf
2015-02-23,104790.78,enterprise,car rental,17876.pdf
2015-03-03,8500.25,lexis nexis,routine,17882.pdf
2015-03-12,19644.76,"""realinfo accounts""",unknown,17889.pdf
2015-03-18,8500.00,lexis nexis,routine,17906.pdf
2015-03-19,7193.58,unknown,unknown,17911.pdf
2015-03-23,15087.78,phones,phones,17914.pdf
2015-04-01,106650.04,no data,unknown,No data
2015-04-03,11418.00,no data,unknown,No data
2015-04-10,19570.16,no data,unknown,No data
2015-04-20,8500.00,no data,unknown,No data
2015-04-24,15102.49,no data,unknown,No data
2015-04-27,103033.08,no data,unknown,No data
2015-05-04,18048.79,no data,unknown,No data
2015-05-06,5631.00,no data,unknown,No data
2015-05-12,9283.96,no data,unknown,No data
2015-05-13,6000.00,no data,unknown,No data
2015-05-20,8500.00,lexis nexis,routine,18022.pdf
2015-05-20,9018.67,simplynas,routine,18025.pdf
2015-06-01,105749.29,enterprise,car rental,18028.pdf
2015-06-01,15167.46,phones,phones,18037.pdf
2015-06-01,5940.00,pen register,surveillance,18040.pdf
2015-06-03,19570.16,phones,phones,18071.pdf
2015-06-03,5808.00,lexis nexis,routine,18074.pdf
2015-06-15,665950.75,finance division check request,unknown,18087.pdf
2015-06-15,6299.40,??? of st petersburg fl,unknown,18088.pdf
2015-06-15,136375.00,stingray,surveillance,18089.pdf
2015-06-19,8500.00,lexis nexis,routine,18331.pdf
2015-06-19,6834.09,"??????????  ""bulk narcotics destruction""???",unknown,18093.pdf
2015-06-22,15504.01,phones,phones,18097.pdf
2015-06-24,5705.75,lexis nexis,routine,18106.pdf
2015-07-01,108794.29,enterprise,car rental,18108.pdf
2015-07-09,6174.55,"??????????  ""narcotics related investigations""???",unknown,18120.pdf
2015-07-10,5154.90,sony cameras and equipment,unknown,18123.pdf
2015-07-16,8616.01,dell computers,routine,18132.pdf
2015-07-16,5411.20,dell computers,routine,18134.pdf
2015-07-20,61771.34,phones,phones,18147.pdf
2015-07-20,14980.25,phones,phones,18142.pdf
2015-07-20,8500.00,lexis nexis,routine,18144.pdf
2015-07-27,20447.50,phones,phones,18155.pdf
2015-08-03,6344.20,canon cameras from b&h video,unknown,18163.pdf
2015-08-12,5815.00,lexis nexis,routine,18184.pdf
2015-08-17,108495.66,enterprise,car rental,18189.pdf
2015-08-19,8500.00,lexis nexis,routine,18192.pdf
2015-08-19,5843.00,lexis nexis,routine,18193.pdf
2015-08-26,51000.00,stingray,surveillance,18202.pdf
2015-08-26,15206.75,barracuda backup server,unknown,18203.pdf
2015-08-26,14213.88,penlink,surveillance,18205.pdf
2015-09-01,17709.95,redxdefense narcotics test kits,routine,18215.pdf
2015-09-01,15821.65,phones,phones,18218.pdf
2015-09-01,7000.00,technical training course,routine,18219.pdf
2015-09-03,116115.06,enterprise,car rental,18226.pdf
2015-09-10,9333.30,penlink,surveillance,18235.pdf
2015-09-10,13183.50,servers from dhpc technologies,routine,18236.pdf
2015-09-10,39540.00,filemaker,routine,18238.pdf
2015-09-11,63980.00,ads invoice,unknown,18240.pdf
2015-09-11,33275.00,ads invoice,unknown,18241.pdf
2015-09-23,27200.00,stingray,surveillance,18252.pdf
2015-09-23,37700.00,stingray,surveillance,18253.pdf
2015-10-01,31741.36,dell computers,routine,18260.pdf
2015-10-01,8500.00,lexis nexis,routine,18264.pdf
2015-10-01,11002.99,shredder,routine,18266.pdf
2015-10-01,15425.62,enterprise,car rental,18268.pdf
2015-10-01,112458.16,phones,phones,18267.pdf
